dish,seed_id,treatment,start_date,start_time,germination_date,germination_time
Dish_C,Dish_C_30,Untreated,20260223,1000,,
Dish_D,Dish_D_01,Treated,20260223,1000,20260226,2234
Dish_D,Dish_D_02,Treated,20260223,1000,,
Dish_D,Dish_D_03,Treated,20260223,1000,,
Dish_D,Dish_D_04,Treated,20260223,1000,20260228,0448
Dish_D,Dish_D_05,Treated,20260223,1000,20260226,2359
Dish_D,Dish_D_06,Treated,20260223,1000,,
Dish_D,Dish_D_07,Treated,20260223,1000,20260227,1735
Dish_D,Dish_D_08,Treated,20260223,1000,,
Dish_D,Dish_D_09,Treated,20260223,1000,,
Dish_D,Dish_D_10,Treated,20260223,1000,20260227,0451
Dish_D,Dish_D_11,Treated,20260223,1000,20260227,1026
Dish_D,Dish_D_12,Treated,20260223,1000,20260226,1650
Dish_D,Dish_D_13,Treated,20260223,1000,20260226,0329
Dish_D,Dish_D_14,Treated,20260223,1000,20260227,1814
Dish_D,Dish_D_15,Treated,20260223,1000,20260228,0647
Dish_D,Dish_D_16,Untreated,20260223,1000,,
Dish_D,Dish_D_17,Untreated,20260223,1000,20260226,1312
Dish_D,Dish_D_18,Untreated,20260223,1000,,
Dish_D,Dish_D_19,Untreated,20260223,1000,20260228,1630
Dish_D,Dish_D_20,Untreated,20260223,1000,20260227,0240
Dish_D,Dish_D_21,Untreated,20260223,1000,,
Dish_D,Dish_D_22,Untreated,20260223,1000,20260228,2323
Dish_D,Dish_D_23,Untreated,20260223,1000,20260227,1758
Dish_D,Dish_D_24,Untreated,20260223,1000,20260227,1226
Dish_D,Dish_D_25,Untreated,20260223,1000,20260226,0915
Dish_D,Dish_D_26,Untreated,20260223,1000,20260227,1702
Dish_D,Dish_D_27,Untreated,20260223,1000,20260226,1932
Dish_D,Dish_D_28,Untreated,20260223,1000,20260226,1954
Dish_D,Dish_D_29,Untreated,20260223,1000,20260228,2034
Dish_D,Dish_D_30,Untreated,20260223,1000,20260228,1312
